Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
MAX_072220_slideY_40x_03-3.tif,315.9465777,157.3065456,156.153177,1.715968978,5.909380416,212.4923904,290.9592329,31.12423114,87.43574829,384.5177916,0.756686009,8.85761502,282.1016179,0.969557196,451.6628723,0.644195595,3,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_03-4.tif,115.5641086,100.8895772,54.21858111,4.170660085,3.69318954,146.8800122,150.4284733,20.81086447,58.05727316,203.4651209,0.739332976,9.08408814,141.3443852,0.93961191,234.1228638,0.642519363,1,Hom233.1F2,HOM,F
MAX_072020_slideR40x_01-1.tif,173.1001376,102.3239069,85.17446019,1.33085094,5.118145846,177.9606748,141.4534278,23.83510004,67.91326089,216.3740882,0.653744767,25.04624854,116.4071793,0.822936433,250.3282776,0.56507171,1,Hom233.1F3,HOM,F
MAX_072020_slideR40x_01-2.tif,209.6743474,134.072082,99.73654532,1.749763953,5.214724433,225.5058027,194.8423669,33.61821983,90.31757077,300.3956126,0.648619217,38.17330111,156.6690657,0.804081106,341.9743958,0.569757179,1,Hom233.1F4,HOM,F
MAX_072020_slideR40x_01-3.tif,250.418622,228.5197573,141.8658482,4.053309949,5.23652562,201.1059479,295.9751929,27.47807449,78.21908775,384.3751974,0.770016367,14.45233967,281.5228533,0.951170436,430.4750671,0.687554787,1,Hom233.1F5,HOM,F
MAX_072020_slideR40x_01-4.tif,229.218403,157.4659156,118.5115607,1.234495424,5.462231374,178.8451021,235.204908,25.35246469,76.37817413,303.7507698,0.774335184,10.87909724,224.3258108,0.9537463,342.8551331,0.686018336,1,Hom233.1F6,HOM,F
MAX_072020_slideR40x_01-5.tif,198.2434601,150.8981953,103.7663047,2.034633426,5.166419753,195.9603329,223.3612031,22.99961898,76.02484992,304.2121039,0.734228521,28.31752682,195.0436763,0.873220925,329.84552,0.677169128,1,Hom233.1F7,HOM,F
MAX_072020_slideR40x_01-6.tif,174.4099482,102.2484159,77.3896977,1.334305133,4.912182532,127.5092686,175.0888788,142.805904,65.99266265,220.7861199,0.793024846,3.73261239,171.3562664,0.978681614,236.5637512,0.740134014,1,Hom233.1F8,HOM,F
MAX_072020_slideR40x_01-7.tif,217.2034173,111.1982977,119.2442443,1.77976484,5.577556964,180.131111,196.9980554,26.425217,71.17509686,257.944486,0.763722685,10.38421155,186.6138438,0.947287746,297.9882813,0.661093297,1,Hom233.1F9,HOM,F
MAX_072020_slideR40x_01-8.tif,170.2652643,139.4571093,106.0559408,2.651398519,5.131657875,150.9281812,167.2378109,113.829319,70.37797973,232.3614123,0.719731427,22.06015863,145.1776523,0.868091082,254.6312714,0.656784259,1,Hom233.1F10,HOM,F
MAX_072020_slideR40x_01-9.tif,212.0739785,136.9910687,100.1944725,1.353979358,5.24665244,205.7296646,177.3368341,25.81215059,67.77676818,244.5322451,0.725208383,19.26699026,158.0698439,0.891353704,280.0465698,0.633240515,2,Hom233.1F11,HOM,F
MAX_072020_slideR40x_02-1.tif,257.5483437,186.1944492,162.7473288,2.292215898,5.840344022,222.3261558,239.8769645,24.60019726,75.59184109,320.7530289,0.747855649,30.17963907,209.6973254,0.874187006,374.7375183,0.640119958,1,Hom233.1F12,HOM,F
MAX_072020_slideR40x_02-2.tif,212.7514332,198.6840219,155.6036644,2.778636864,5.692717248,234.8345002,204.3542375,93.25898621,100.9154468,319.5954997,0.639415254,63.00985233,141.3443852,0.691663588,365.20047,0.559567291,2,Hom233.1F13,HOM,F
MAX_072020_slideR40x_02-3.tif,208.0480318,174.7869147,113.8407032,1.72485914,5.344188836,232.0739194,229.6856744,167.7434545,93.8168813,314.4956607,0.730330186,20.74325943,208.942415,0.909688493,349.8757935,0.656477752,1,Hom233.1F14,HOM,F
MAX_072020_slideR40x_02-4.tif,141.1810718,109.134876,83.70909313,1.74393944,4.985670357,99.56854609,133.3674989,152.6545791,85.25006109,174.2752532,0.765269288,21.40590297,111.961596,0.839496855,190.3632355,0.700594832,1,Hom233.1F15,HOM,F
MAX_072020_slideR40x_03-1.tif,119.9824321,147.4088319,71.25347315,1.781336829,4.665452054,83.99836694,166.3067548,98.80545379,62.26257795,191.1265302,0.870139559,6.74386598,159.5628888,0.959449236,208.5062408,0.797610441,1,Hom233.1F16,HOM,F
MAX_072020_slideR40x_03-2.tif,183.2672383,177.663962,100.1944725,2.946896251,4.805555514,138.4627023,214.277115,25.7229577,70.226236,278.1928597,0.770246638,12.41408166,201.8630333,0.942065294,322.3970642,0.664637302,1,Hom233.1F17,HOM,F
MAX_072020_slideR40x_03-3.tif,149.9326422,196.6289881,104.86533,2.383302955,5.003337238,145.367967,196.9393401,22.85107227,67.7132597,253.4905148,0.776910096,26.70705136,170.2322887,0.864389454,304.2288818,0.647339394,2,Hom233.1F18,HOM,F
MAX_072020_slideR40x_03-4.tif,118.1154834,158.8247542,84.44177666,2.911785402,4.662188194,94.03975901,162.9515976,20.90275932,56.49539118,186.3370433,0.874499212,14.41878809,148.5328095,0.911514902,215.1746216,0.757299334,1,Hom233.1F19,HOM,F
MAX_072020_slideR40x_03-5.tif,94.02674146,98.10479671,56.59980258,3.537487661,4.13648669,69.16087132,109.7220285,22.33126516,53.65512578,133.1578016,0.824,8.41305669,101.3089718,0.923323905,150.9820709,0.726722238,1,Hom233.1F20,HOM,F
MAX_031220_animalJ_40x_01-1.tif,137.7690714,153.8339579,75.00847623,3.409476192,4.388966925,142.7889778,210.9219578,29.29603388,89.72045483,283.1836561,0.744823909,12.45602113,198.4659366,0.940944882,320.9123989,0.657257116,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_01-2.tif,95.44608451,120.9198657,50.73833435,5.637592706,3.625250687,94.2673746,149.7406661,205.7587553,67.17899807,179.8951415,0.832377489,4.05135233,145.6893138,0.972944208,200.4538673,0.747008118,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_01-3.tif,132.8028145,123.7298099,73.45152374,2.720426805,4.570597408,80.70668311,188.8030839,21.50698399,60.71594698,212.7337427,0.887508872,5.13339053,183.6696934,0.972810876,231.9587934,0.813950966,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_01-4.tif,59.42520017,112.1209659,32.42124614,1.409619397,3.662138251,55.81161928,123.402682,17.87582648,49.26125807,136.2193826,0.90591133,11.1726735,112.2300085,0.909461664,166.3319185,0.741906202,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_01-5.tif,92.89089696,126.5313661,50.73833435,5.637592706,3.504676755,98.91554718,154.3372315,33.89713151,82.91012574,179.467359,0.859973827,11.18944928,143.1477822,0.9275,235.4565448,0.655480745,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_01-6.tif,174.0305889,259.6975556,128.952301,3.907645486,5.162460898,207.2318509,190.5477656,21.95377718,71.41954276,287.7634457,0.662168071,86.39529806,104.1524676,0.546595061,324.7624418,0.586729686,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_01-7.tif,232.5668949,245.9246353,129.4102282,3.697435092,5.052584685,184.3218189,288.7951565,26.85453179,80.47841335,361.669171,0.798506424,34.08839721,254.7067593,0.881963404,418.0190363,0.690866041,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_01-8.tif,136.2316453,161.6514742,98.63752003,2.90110353,5.0445611,91.1442648,178.8802064,20.39149383,61.53212788,201.1081229,0.889472806,14.10843605,164.7717704,0.921129138,216.6341129,0.825725016,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_02-1.tif,176.8502112,107.8347526,84.99128931,2.428322552,4.812695096,141.9337442,162.8677187,24.16623784,61.63877273,213.4215499,0.763126867,16.07959091,146.7881278,0.901272081,229.4424255,0.70984134,1,Hom28F3,HOM,F
MAX_031220_animalJ_40x_02-2.tif,220.0468413,157.9272497,105.689599,1.957214796,5.066906901,260.4844699,205.4614394,25.38106719,85.06307746,328.2182537,0.625990289,39.1462967,166.3151427,0.809471321,413.2127736,0.497229158,1,Hom28F3,HOM,F
